City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Jamestown,US,81.3,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
8,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
12,Ponta Do Sol,PT,79.72,broken clouds,32.6667,-17.1,Hotel do Campo
20,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
24,Buala,SB,77.95,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
26,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
31,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
33,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
44,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Colares,PT,87.48,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
55,Faanui,PF,78.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Upata,VE,82.65,broken clouds,8.0086,-62.3989,Posada Villa Nela
58,Rio Brilhante,BR,77.76,broken clouds,-21.8019,-54.5464,Hotel Cattani
59,Goderich,CA,79.92,broken clouds,43.7501,-81.7165,Harmony Inn
62,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
65,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
68,Thinadhoo,MV,82.72,overcast clouds,0.5333,72.9333,
69,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
80,Pemangkat,ID,76.69,overcast clouds,1.1667,108.9667,Ramah Kost KITA
84,Martaban,MM,78.96,overcast clouds,16.5314,97.6111,Lu Wa Gyi Guest House
86,Billings,US,77.29,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
87,Montlucon,FR,87.06,scattered clouds,46.3333,2.6,Hotel De La Gare
88,Tura,IN,75.16,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
94,Korbach,DE,78.22,overcast clouds,51.2756,8.873,Hotel Goldflair am Rathaus
96,Cortez,US,78.67,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
