City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bonfim,3.0833,-59.95,75.15,67,86,1.7,BR,2021-08-02 18:56:15
1,Ushuaia,-54.8,-68.3,46.06,46,40,12.66,AR,2021-08-02 18:54:09
2,Bredasdorp,-34.5322,20.0403,58.28,88,27,8.05,ZA,2021-08-02 18:53:48
3,Oshakati,-17.7833,15.6833,71.62,24,0,9.04,NA,2021-08-02 18:56:17
4,Madimba,-10.4,40.3333,71.85,78,37,8.81,TZ,2021-08-02 18:56:18
5,Leningradskiy,69.3833,178.4167,32.4,98,100,10.76,RU,2021-08-02 18:56:18
6,Arraial Do Cabo,-22.9661,-42.0278,80.56,68,0,17.27,BR,2021-08-02 18:53:58
7,Saint-Philippe,-21.3585,55.7679,67.59,71,36,2.24,RE,2021-08-02 18:53:56
8,Pelym,61.0108,61.9978,58.93,81,52,4.16,RU,2021-08-02 18:56:20
9,Plettenberg Bay,-34.0527,23.3716,56.26,88,7,4.94,ZA,2021-08-02 18:56:21
10,Saldanha,-33.0117,17.9442,57.61,80,0,7.7,ZA,2021-08-02 18:56:21
11,Russkaya Polyana,49.417,31.9201,71.49,70,14,4.99,UA,2021-08-02 18:56:22
12,Mataura,-46.1927,168.8643,43.48,98,100,2.84,NZ,2021-08-02 18:53:40
13,Ancud,-41.8697,-73.8203,54.93,96,100,5.44,CL,2021-08-02 18:56:23
14,Rikitea,-23.1203,-134.9692,68.77,55,55,22.77,PF,2021-08-02 18:53:41
15,Poum,-20.2333,164.0167,67.05,67,25,9.71,NC,2021-08-02 18:56:04
16,Dese,11.1333,39.6333,56.84,81,100,0.92,ET,2021-08-02 18:56:25
17,Ambilobe,-13.2,49.05,68.85,87,17,4.16,MG,2021-08-02 18:54:18
18,Kavieng,-2.5744,150.7967,81.63,80,34,11.54,PG,2021-08-02 18:54:47
19,San Carlos De Bariloche,-41.1456,-71.3082,60.44,42,40,17.27,AR,2021-08-02 18:56:27
20,Klaksvik,62.2266,-6.589,50.92,83,100,10.89,FO,2021-08-02 18:56:28
21,Kaduy,59.2,37.15,71.64,97,100,6.89,RU,2021-08-02 18:56:28
22,Buje,45.41,13.6619,74.82,61,75,2.3,HR,2021-08-02 18:56:29
23,Albany,42.6001,-73.9662,78.46,54,32,1.01,US,2021-08-02 18:54:07
24,Hobart,-42.8794,147.3294,45.05,86,95,1.99,AU,2021-08-02 18:53:42
25,Torbay,47.6666,-52.7314,74.17,57,90,11.5,CA,2021-08-02 18:54:01
26,Georgetown,5.4112,100.3354,82.89,86,20,1.01,MY,2021-08-02 18:55:49
27,Thenzawl,23.3167,92.75,69.37,99,100,0.69,IN,2021-08-02 18:56:32
28,Atuona,-9.8,-139.0333,78.03,73,73,17.52,PF,2021-08-02 18:53:36
29,San Cristobal,7.7669,-72.225,80.78,79,100,7.16,VE,2021-08-02 18:56:34
30,Talcahuano,-36.7167,-73.1167,60.48,63,0,10.36,CL,2021-08-02 18:56:34
31,Vaini,-21.2,-175.2,66.36,82,20,8.05,TO,2021-08-02 18:53:43
32,Hithadhoo,-0.6,73.0833,81.66,71,100,5.66,MV,2021-08-02 18:54:43
33,Sitka,57.0531,-135.33,62.49,72,90,12.66,US,2021-08-02 18:56:36
34,Marsa Matruh,31.3525,27.2453,82.6,78,0,9.22,EG,2021-08-02 18:54:14
35,Mar Del Plata,-38.0023,-57.5575,56.12,64,0,15.99,AR,2021-08-02 18:56:37
36,Bruchkobel,50.1833,8.9167,65.25,82,18,4.25,DE,2021-08-02 18:56:38
37,Iqaluit,63.7506,-68.5145,49.73,93,75,3.44,CA,2021-08-02 18:56:38
38,Punta Arenas,-53.15,-70.9167,44.71,61,75,33.38,CL,2021-08-02 18:50:35
39,Provideniya,64.3833,-173.3,45.52,98,100,10.33,RU,2021-08-02 18:55:44
40,Portland,45.5234,-122.6762,87.94,56,5,6.98,US,2021-08-02 18:54:26
41,Vanimo,-2.6741,141.3028,77.86,89,98,5.39,PG,2021-08-02 18:56:40
42,Adrar,20.5022,-10.0711,99.28,25,4,8.99,MR,2021-08-02 18:56:41
43,Sandakan,5.8402,118.1179,78.48,88,20,0.0,MY,2021-08-02 18:56:42
44,Tuatapere,-46.1333,167.6833,43.83,84,96,5.99,NZ,2021-08-02 18:54:56
45,Tasiilaq,65.6145,-37.6368,43.41,82,100,2.37,GL,2021-08-02 18:54:17
46,Sinnamary,5.3833,-52.95,81.18,81,71,8.88,GF,2021-08-02 18:56:43
47,Vestmannaeyjar,63.4427,-20.2734,56.39,76,75,6.91,IS,2021-08-02 18:54:20
48,Bengkulu,-3.8004,102.2655,75.24,91,38,4.32,ID,2021-08-02 18:55:36
49,Santa Vitoria Do Palmar,-33.5189,-53.3681,57.96,78,45,7.87,BR,2021-08-02 18:56:45
50,Hilo,19.7297,-155.09,76.8,82,75,6.91,US,2021-08-02 18:53:41
51,Katsuura,35.1333,140.3,80.19,89,38,10.07,JP,2021-08-02 18:56:07
52,Cabedelo,-6.9811,-34.8339,75.87,80,20,18.61,BR,2021-08-02 18:55:33
53,Samarai,-10.6167,150.6667,78.39,79,62,9.93,PG,2021-08-02 18:53:38
